,DT_GERACAO,HH_GERACAO,ANO_ELEICAO,CD_TIPO_ELEICAO,NM_TIPO_ELEICAO,NR_TURNO,CD_ELEICAO,DS_ELEICAO,DT_ELEICAO,TP_ABRANGENCIA,SG_UF,SG_UE,NM_UE,CD_MUNICIPIO,NM_MUNICIPIO,NR_ZONA,CD_CARGO,DS_CARGO,SQ_CANDIDATO,NR_CANDIDATO,NM_CANDIDATO,NM_URNA_CANDIDATO,NM_SOCIAL_CANDIDATO,CD_SITUACAO_CANDIDATURA,DS_SITUACAO_CANDIDATURA,CD_DETALHE_SITUACAO_CAND,DS_DETALHE_SITUACAO_CAND,TP_AGREMIACAO,NR_PARTIDO,SG_PARTIDO,NM_PARTIDO,SQ_COLIGACAO,NM_COLIGACAO,DS_COMPOSICAO_COLIGACAO,CD_SIT_TOT_TURNO,DS_SIT_TOT_TURNO,ST_VOTO_EM_TRANSITO,QT_VOTOS_NOMINAIS
2325060,11/09/2022,04:50:46,2018,2,Eleição Ordinária,1,295,ELEIÇÃO GERAL FEDERAL 2018,07/10/2018,F,PE,BR,BRASIL,25950,TACARATU,89,1,Presidente,280000607640,30,JOÃO DIONISIO FILGUEIRA BARRETO AMOEDO,JOÃO AMOÊDO,#NULO#,12,APTO,2,DEFERIDO,Partido isolado,30,NOVO,Partido Novo,280000050199,PARTIDO ISOLADO,NOVO,4,NÃO ELEITO,N,23
2329409,11/09/2022,04:50:46,2018,2,Eleição Ordinária,1,295,ELEIÇÃO GERAL FEDERAL 2018,07/10/2018,F,PE,BR,BRASIL,23191,ANGELIM,116,1,Presidente,280000607640,30,JOÃO DIONISIO FILGUEIRA BARRETO AMOEDO,JOÃO AMOÊDO,#NULO#,12,APTO,2,DEFERIDO,Partido isolado,30,NOVO,Partido Novo,280000050199,PARTIDO ISOLADO,NOVO,4,NÃO ELEITO,N,13
2329410,11/09/2022,04:50:46,2018,2,Eleição Ordinária,1,295,ELEIÇÃO GERAL FEDERAL 2018,07/10/2018,F,PE,BR,BRASIL,23370,BEZERROS,35,1,Presidente,280000607640,30,JOÃO DIONISIO FILGUEIRA BARRETO AMOEDO,JOÃO AMOÊDO,#NULO#,12,APTO,2,DEFERIDO,Partido isolado,30,NOVO,Partido Novo,280000050199,PARTIDO ISOLADO,NOVO,4,NÃO ELEITO,N,423
2329420,11/09/2022,04:50:46,2018,2,Eleição Ordinária,1,295,ELEIÇÃO GERAL FEDERAL 2018,07/10/2018,F,PE,BR,BRASIL,23396,BODOCÓ,80,1,Presidente,280000602477,45,GERALDO JOSÉ RODRIGUES ALCKMIN FILHO,GERALDO ALCKMIN,#NULO#,12,APTO,2,DEFERIDO,Coligação,45,PSDB,Partido da Social Democracia Brasileira,280000050070,PARA UNIR O BRASIL,PSDB / PTB / PP / PR / DEM / SOLIDARIEDADE / PPS / PRB / PSD,4,NÃO ELEITO,N,117
2329453,11/09/2022,04:50:46,2018,2,Eleição Ordinária,1,295,ELEIÇÃO GERAL FEDERAL 2018,07/10/2018,F,PE,BR,BRASIL,25313,RECIFE,149,1,Presidente,280000602477,45,GERALDO JOSÉ RODRIGUES ALCKMIN FILHO,GERALDO ALCKMIN,#NULO#,12,APTO,2,DEFERIDO,Coligação,45,PSDB,Partido da Social Democracia Brasileira,280000050070,PARA UNIR O BRASIL,PSDB / PTB / PP / PR / DEM / SOLIDARIEDADE / PPS / PRB / PSD,4,NÃO ELEITO,N,1580
2330162,11/09/2022,04:50:46,2018,2,Eleição Ordinária,1,295,ELEIÇÃO GERAL FEDERAL 2018,07/10/2018,F,PE,BR,BRASIL,23930,CORRENTES,59,1,Presidente,280000602477,45,GERALDO JOSÉ RODRIGUES ALCKMIN FILHO,GERALDO ALCKMIN,#NULO#,12,APTO,2,DEFERIDO,Coligação,45,PSDB,Partido da Social Democracia Brasileira,280000050070,PARA UNIR O BRASIL,PSDB / PTB / PP / PR / DEM / SOLIDARIEDADE / PPS / PRB / PSD,4,NÃO ELEITO,N,54
2330857,11/09/2022,04:50:46,2018,2,Eleição Ordinária,1,295,ELEIÇÃO GERAL FEDERAL 2018,07/10/2018,F,PE,BR,BRASIL,23612,CACHOEIRINHA,44,1,Presidente,280000602477,45,GERALDO JOSÉ RODRIGUES ALCKMIN FILHO,GERALDO ALCKMIN,#NULO#,12,APTO,2,DEFERIDO,Coligação,45,PSDB,Partido da Social Democracia Brasileira,280000050070,PARA UNIR O BRASIL,PSDB / PTB / PP / PR / DEM / SOLIDARIEDADE / PPS / PRB / PSD,4,NÃO ELEITO,N,185
2332290,11/09/2022,04:50:46,2018,2,Eleição Ordinária,1,295,ELEIÇÃO GERAL FEDERAL 2018,07/10/2018,F,PE,BR,BRASIL,26093,TRACUNHAÉM,23,1,Presidente,280000602477,45,GERALDO JOSÉ RODRIGUES ALCKMIN FILHO,GERALDO ALCKMIN,#NULO#,12,APTO,2,DEFERIDO,Coligação,45,PSDB,Partido da Social Democracia Brasileira,280000050070,PARA UNIR O BRASIL,PSDB / PTB / PP / PR / DEM / SOLIDARIEDADE / PPS / PRB / PSD,4,NÃO ELEITO,N,167
2333027,11/09/2022,04:50:46,2018,2,Eleição Ordinária,1,295,ELEIÇÃO GERAL FEDERAL 2018,07/10/2018,F,PE,BR,BRASIL,25216,PETROLINA,145,1,Presidente,280000602477,45,GERALDO JOSÉ RODRIGUES ALCKMIN FILHO,GERALDO ALCKMIN,#NULO#,12,APTO,2,DEFERIDO,Coligação,45,PSDB,Partido da Social Democracia Brasileira,280000050070,PARA UNIR O BRASIL,PSDB / PTB / PP / PR / DEM / SOLIDARIEDADE / PPS / PRB / PSD,4,NÃO ELEITO,N,605
2333043,11/09/2022,04:50:46,2018,2,Eleição Ordinária,1,295,ELEIÇÃO GERAL FEDERAL 2018,07/10/2018,F,PE,BR,BRASIL,23124,JUCATI,92,1,Presidente,280000602477,45,GERALDO JOSÉ RODRIGUES ALCKMIN FILHO,GERALDO ALCKMIN,#NULO#,12,APTO,2,DEFERIDO,Coligação,45,PSDB,Partido da Social Democracia Brasileira,280000050070,PARA UNIR O BRASIL,PSDB / PTB / PP / PR / DEM / SOLIDARIEDADE / PPS / PRB / PSD,4,NÃO ELEITO,N,45
2333773,11/09/2022,04:50:46,2018,2,Eleição Ordinária,1,295,ELEIÇÃO GERAL FEDERAL 2018,07/10/2018,F,PE,BR,BRASIL,24210,GLÓRIA DO GOITÁ,21,1,Presidente,280000602477,45,GERALDO JOSÉ RODRIGUES ALCKMIN FILHO,GERALDO ALCKMIN,#NULO#,12,APTO,2,DEFERIDO,Coligação,45,PSDB,Partido da Social Democracia Brasileira,280000050070,PARA UNIR O BRASIL,PSDB / PTB / PP / PR / DEM / SOLIDARIEDADE / PPS / PRB / PSD,4,NÃO ELEITO,N,296
2334454,11/09/2022,04:50:46,2018,2,Eleição Ordinária,1,295,ELEIÇÃO GERAL FEDERAL 2018,07/10/2018,F,PE,BR,BRASIL,26298,CAMARAGIBE,127,1,Presidente,280000602477,45,GERALDO JOSÉ RODRIGUES ALCKMIN FILHO,GERALDO ALCKMIN,#NULO#,12,APTO,2,DEFERIDO,Coligação,45,PSDB,Partido da Social Democracia Brasileira,280000050070,PARA UNIR O BRASIL,PSDB / PTB / PP / PR / DEM / SOLIDARIEDADE / PPS / PRB / PSD,4,NÃO ELEITO,N,925
2334465,11/09/2022,04:50:46,2018,2,Eleição Ordinária,1,295,ELEIÇÃO GERAL FEDERAL 2018,07/10/2018,F,PE,BR,BRASIL,26255,VICÊNCIA,90,1,Presidente,280000602477,45,GERALDO JOSÉ RODRIGUES ALCKMIN FILHO,GERALDO ALCKMIN,#NULO#,12,APTO,2,DEFERIDO,Coligação,45,PSDB,Partido da Social Democracia Brasileira,280000050070,PARA UNIR O BRASIL,PSDB / PTB / PP / PR / DEM / SOLIDARIEDADE / PPS / PRB / PSD,4,NÃO ELEITO,N,279
2334480,11/09/2022,04:50:46,2018,2,Eleição Ordinária,1,295,ELEIÇÃO GERAL FEDERAL 2018,07/10/2018,F,PE,BR,BRASIL,26115,TRINDADE,133,1,Presidente,280000602477,45,GERALDO JOSÉ RODRIGUES ALCKMIN FILHO,GERALDO ALCKMIN,#NULO#,12,APTO,2,DEFERIDO,Coligação,45,PSDB,Partido da Social Democracia Brasileira,280000050070,PARA UNIR O BRASIL,PSDB / PTB / PP / PR / DEM / SOLIDARIEDADE / PPS / PRB / PSD,4,NÃO ELEITO,N,152
2334490,11/09/2022,04:50:46,2018,2,Eleição Ordinária,1,295,ELEIÇÃO GERAL FEDERAL 2018,07/10/2018,F,PE,BR,BRASIL,23574,CABO DE SANTO AGOSTINHO,15,1,Presidente,280000602477,45,GERALDO JOSÉ RODRIGUES ALCKMIN FILHO,GERALDO ALCKMIN,#NULO#,12,APTO,2,DEFERIDO,Coligação,45,PSDB,Partido da Social Democracia Brasileira,280000050070,PARA UNIR O BRASIL,PSDB / PTB / PP / PR / DEM / SOLIDARIEDADE / PPS / PRB / PSD,4,NÃO ELEITO,N,716
2335186,11/09/2022,04:50:46,2018,2,Eleição Ordinária,1,295,ELEIÇÃO GERAL FEDERAL 2018,07/10/2018,F,PE,BR,BRASIL,25194,PETROLÂNDIA,70,1,Presidente,280000602477,45,GERALDO JOSÉ RODRIGUES ALCKMIN FILHO,GERALDO ALCKMIN,#NULO#,12,APTO,2,DEFERIDO,Coligação,45,PSDB,Partido da Social Democracia Brasileira,280000050070,PARA UNIR O BRASIL,PSDB / PTB / PP / PR / DEM / SOLIDARIEDADE / PPS / PRB / PSD,4,NÃO ELEITO,N,157
2335209,11/09/2022,04:50:46,2018,2,Eleição Ordinária,1,295,ELEIÇÃO GERAL FEDERAL 2018,07/10/2018,F,PE,BR,BRASIL,23833,CATENDE,43,1,Presidente,280000602477,45,GERALDO JOSÉ RODRIGUES ALCKMIN FILHO,GERALDO ALCKMIN,#NULO#,12,APTO,2,DEFERIDO,Coligação,45,PSDB,Partido da Social Democracia Brasileira,280000050070,PARA UNIR O BRASIL,PSDB / PTB / PP / PR / DEM / SOLIDARIEDADE / PPS / PRB / PSD,4,NÃO ELEITO,N,293
2335210,11/09/2022,04:50:46,2018,2,Eleição Ordinária,1,295,ELEIÇÃO GERAL FEDERAL 2018,07/10/2018,F,PE,BR,BRASIL,23639,CAETÉS,130,1,Presidente,280000602477,45,GERALDO JOSÉ RODRIGUES ALCKMIN FILHO,GERALDO ALCKMIN,#NULO#,12,APTO,2,DEFERIDO,Coligação,45,PSDB,Partido da Social Democracia Brasileira,280000050070,PARA UNIR O BRASIL,PSDB / PTB / PP / PR / DEM / SOLIDARIEDADE / PPS / PRB / PSD,4,NÃO ELEITO,N,88
2335904,11/09/2022,04:50:46,2018,2,Eleição Ordinária,1,295,ELEIÇÃO GERAL FEDERAL 2018,07/10/2018,F,PE,BR,BRASIL,24597,JATAÚBA,54,1,Presidente,280000602477,45,GERALDO JOSÉ RODRIGUES ALCKMIN FILHO,GERALDO ALCKMIN,#NULO#,12,APTO,2,DEFERIDO,Coligação,45,PSDB,Partido da Social Democracia Brasileira,280000050070,PARA UNIR O BRASIL,PSDB / PTB / PP / PR / DEM / SOLIDARIEDADE / PPS / PRB / PSD,4,NÃO ELEITO,N,155
2336637,11/09/2022,04:50:46,2018,2,Eleição Ordinária,1,295,ELEIÇÃO GERAL FEDERAL 2018,07/10/2018,F,PE,BR,BRASIL,23213,ARARIPINA,84,1,Presidente,280000602477,45,GERALDO JOSÉ RODRIGUES ALCKMIN FILHO,GERALDO ALCKMIN,#NULO#,12,APTO,2,DEFERIDO,Coligação,45,PSDB,Partido da Social Democracia Brasileira,280000050070,PARA UNIR O BRASIL,PSDB / PTB / PP / PR / DEM / SOLIDARIEDADE / PPS / PRB / PSD,4,NÃO ELEITO,N,385
2336641,11/09/2022,04:50:46,2018,2,Eleição Ordinária,1,295,ELEIÇÃO GERAL FEDERAL 2018,07/10/2018,F,PE,BR,BRASIL,25259,POMBOS,102,1,Presidente,280000602477,45,GERALDO JOSÉ RODRIGUES ALCKMIN FILHO,GERALDO ALCKMIN,#NULO#,12,APTO,2,DEFERIDO,Coligação,45,PSDB,Partido da Social Democracia Brasileira,280000050070,PARA UNIR O BRASIL,PSDB / PTB / PP / PR / DEM / SOLIDARIEDADE / PPS / PRB / PSD,4,NÃO ELEITO,N,336
2336658,11/09/2022,04:50:46,2018,2,Eleição Ordinária,1,295,ELEIÇÃO GERAL FEDERAL 2018,07/10/2018,F,PE,BR,BRASIL,24317,IBIMIRIM,128,1,Presidente,280000602477,45,GERALDO JOSÉ RODRIGUES ALCKMIN FILHO,GERALDO ALCKMIN,#NULO#,12,APTO,2,DEFERIDO,Coligação,45,PSDB,Partido da Social Democracia Brasileira,280000050070,PARA UNIR O BRASIL,PSDB / PTB / PP / PR / DEM / SOLIDARIEDADE / PPS / PRB / PSD,4,NÃO ELEITO,N,64
2337355,11/09/2022,04:50:46,2018,2,Eleição Ordinária,1,295,ELEIÇÃO GERAL FEDERAL 2018,07/10/2018,F,PE,BR,BRASIL,23590,CABROBÓ,77,1,Presidente,280000602477,45,GERALDO JOSÉ RODRIGUES ALCKMIN FILHO,GERALDO ALCKMIN,#NULO#,12,APTO,2,DEFERIDO,Coligação,45,PSDB,Partido da Social Democracia Brasileira,280000050070,PARA UNIR O BRASIL,PSDB / PTB / PP / PR / DEM / SOLIDARIEDADE / PPS / PRB / PSD,4,NÃO ELEITO,N,139
2338060,11/09/2022,04:50:46,2018,2,Eleição Ordinária,1,295,ELEIÇÃO GERAL FEDERAL 2018,07/10/2018,F,PE,BR,BRASIL,26018,TEREZINHA,61,1,Presidente,280000607640,30,JOÃO DIONISIO FILGUEIRA BARRETO AMOEDO,JOÃO AMOÊDO,#NULO#,12,APTO,2,DEFERIDO,Partido isolado,30,NOVO,Partido Novo,280000050199,PARTIDO ISOLADO,NOVO,4,NÃO ELEITO,N,9
2338102,11/09/2022,04:50:46,2018,2,Eleição Ordinária,1,295,ELEIÇÃO GERAL FEDERAL 2018,07/10/2018,F,PE,BR,BRASIL,25852,MOREILÂNDIA,79,1,Presidente,280000602477,45,GERALDO JOSÉ RODRIGUES ALCKMIN FILHO,GERALDO ALCKMIN,#NULO#,12,APTO,2,DEFERIDO,Coligação,45,PSDB,Partido da Social Democracia Brasileira,280000050070,PARA UNIR O BRASIL,PSDB / PTB / PP / PR / DEM / SOLIDARIEDADE / PPS / PRB / PSD,4,NÃO ELEITO,N,40
2338793,11/09/2022,04:50:46,2018,2,Eleição Ordinária,1,295,ELEIÇÃO GERAL FEDERAL 2018,07/10/2018,F,PE,BR,BRASIL,24090,FERREIROS,27,1,Presidente,280000602477,45,GERALDO JOSÉ RODRIGUES ALCKMIN FILHO,GERALDO ALCKMIN,#NULO#,12,APTO,2,DEFERIDO,Coligação,45,PSDB,Partido da Social Democracia Brasileira,280000050070,PARA UNIR O BRASIL,PSDB / PTB / PP / PR / DEM / SOLIDARIEDADE / PPS / PRB / PSD,4,NÃO ELEITO,N,84
2338821,11/09/2022,04:50:46,2018,2,Eleição Ordinária,1,295,ELEIÇÃO GERAL FEDERAL 2018,07/10/2018,F,PE,BR,BRASIL,24635,JOAQUIM NABUCO,38,1,Presidente,280000602477,45,GERALDO JOSÉ RODRIGUES ALCKMIN FILHO,GERALDO ALCKMIN,#NULO#,12,APTO,2,DEFERIDO,Coligação,45,PSDB,Partido da Social Democracia Brasileira,280000050070,PARA UNIR O BRASIL,PSDB / PTB / PP / PR / DEM / SOLIDARIEDADE / PPS / PRB / PSD,4,NÃO ELEITO,N,120
2339485,11/09/2022,04:50:46,2018,2,Eleição Ordinária,1,295,ELEIÇÃO GERAL FEDERAL 2018,07/10/2018,F,PE,BR,BRASIL,26158,TUPANATINGA,143,1,Presidente,280000607640,30,JOÃO DIONISIO FILGUEIRA BARRETO AMOEDO,JOÃO AMOÊDO,#NULO#,12,APTO,2,DEFERIDO,Partido isolado,30,NOVO,Partido Novo,280000050199,PARTIDO ISOLADO,NOVO,4,NÃO ELEITO,N,25
2339486,11/09/2022,04:50:46,2018,2,Eleição Ordinária,1,295,ELEIÇÃO GERAL FEDERAL 2018,07/10/2018,F,PE,BR,BRASIL,25658,SÃO JOAQUIM DO MONTE,132,1,Presidente,280000607640,30,JOÃO DIONISIO FILGUEIRA BARRETO AMOEDO,JOÃO AMOÊDO,#NULO#,12,APTO,2,DEFERIDO,Partido isolado,30,NOVO,Partido Novo,280000050199,PARTIDO ISOLADO,NOVO,4,NÃO ELEITO,N,36
2339490,11/09/2022,04:50:46,2018,2,Eleição Ordinária,1,295,ELEIÇÃO GERAL FEDERAL 2018,07/10/2018,F,PE,BR,BRASIL,24295,IATI,136,1,Presidente,280000607640,30,JOÃO DIONISIO FILGUEIRA BARRETO AMOEDO,JOÃO AMOÊDO,#NULO#,12,APTO,2,DEFERIDO,Partido isolado,30,NOVO,Partido Novo,280000050199,PARTIDO ISOLADO,NOVO,4,NÃO ELEITO,N,26
2339536,11/09/2022,04:50:46,2018,2,Eleição Ordinária,1,295,ELEIÇÃO GERAL FEDERAL 2018,07/10/2018,F,PE,BR,BRASIL,25356,RIBEIRÃO,28,1,Presidente,280000602477,45,GERALDO JOSÉ RODRIGUES ALCKMIN FILHO,GERALDO ALCKMIN,#NULO#,12,APTO,2,DEFERIDO,Coligação,45,PSDB,Partido da Social Democracia Brasileira,280000050070,PARA UNIR O BRASIL,PSDB / PTB / PP / PR / DEM / SOLIDARIEDADE / PPS / PRB / PSD,4,NÃO ELEITO,N,287
2340254,11/09/2022,04:50:46,2018,2,Eleição Ordinária,1,295,ELEIÇÃO GERAL FEDERAL 2018,07/10/2018,F,PE,BR,BRASIL,24538,ITAPETIM,99,1,Presidente,280000602477,45,GERALDO JOSÉ RODRIGUES ALCKMIN FILHO,GERALDO ALCKMIN,#NULO#,12,APTO,2,DEFERIDO,Coligação,45,PSDB,Partido da Social Democracia Brasileira,280000050070,PARA UNIR O BRASIL,PSDB / PTB / PP / PR / DEM / SOLIDARIEDADE / PPS / PRB / PSD,4,NÃO ELEITO,N,66
2340966,11/09/2022,04:50:46,2018,2,Eleição Ordinária,1,295,ELEIÇÃO GERAL FEDERAL 2018,07/10/2018,F,PE,BR,BRASIL,24015,CUSTÓDIA,65,1,Presidente,280000602477,45,GERALDO JOSÉ RODRIGUES ALCKMIN FILHO,GERALDO ALCKMIN,#NULO#,12,APTO,2,DEFERIDO,Coligação,45,PSDB,Partido da Social Democracia Brasileira,280000050070,PARA UNIR O BRASIL,PSDB / PTB / PP / PR / DEM / SOLIDARIEDADE / PPS / PRB / PSD,4,NÃO ELEITO,N,169
2341718,11/09/2022,04:50:46,2018,2,Eleição Ordinária,1,295,ELEIÇÃO GERAL FEDERAL 2018,07/10/2018,F,PE,BR,BRASIL,25470,SANHARÓ,45,1,Presidente,280000602477,45,GERALDO JOSÉ RODRIGUES ALCKMIN FILHO,GERALDO ALCKMIN,#NULO#,12,APTO,2,DEFERIDO,Coligação,45,PSDB,Partido da Social Democracia Brasileira,280000050070,PARA UNIR O BRASIL,PSDB / PTB / PP / PR / DEM / SOLIDARIEDADE / PPS / PRB / PSD,4,NÃO ELEITO,N,112
2342427,11/09/2022,04:50:46,2018,2,Eleição Ordinária,1,295,ELEIÇÃO GERAL FEDERAL 2018,07/10/2018,F,PE,BR,BRASIL,24058,EXU,79,1,Presidente,280000602477,45,GERALDO JOSÉ RODRIGUES ALCKMIN FILHO,GERALDO ALCKMIN,#NULO#,12,APTO,2,DEFERIDO,Coligação,45,PSDB,Partido da Social Democracia Brasileira,280000050070,PARA UNIR O BRASIL,PSDB / PTB / PP / PR / DEM / SOLIDARIEDADE / PPS / PRB / PSD,4,NÃO ELEITO,N,102
2345308,11/09/2022,04:50:46,2018,2,Eleição Ordinária,1,295,ELEIÇÃO GERAL FEDERAL 2018,07/10/2018,F,PE,BR,BRASIL,23043,SANTA CRUZ DA BAIXA VERDE,71,1,Presidente,280000607640,30,JOÃO DIONISIO FILGUEIRA BARRETO AMOEDO,JOÃO AMOÊDO,#NULO#,12,APTO,2,DEFERIDO,Partido isolado,30,NOVO,Partido Novo,280000050199,PARTIDO ISOLADO,NOVO,4,NÃO ELEITO,N,21
2346772,11/09/2022,04:50:46,2018,2,Eleição Ordinária,1,295,ELEIÇÃO GERAL FEDERAL 2018,07/10/2018,F,PE,BR,BRASIL,26239,VERTENTES,46,1,Presidente,280000607640,30,JOÃO DIONISIO FILGUEIRA BARRETO AMOEDO,JOÃO AMOÊDO,#NULO#,12,APTO,2,DEFERIDO,Partido isolado,30,NOVO,Partido Novo,280000050199,PARTIDO ISOLADO,NOVO,4,NÃO ELEITO,N,67
2348945,11/09/2022,04:50:46,2018,2,Eleição Ordinária,1,295,ELEIÇÃO GERAL FEDERAL 2018,07/10/2018,F,PE,BR,BRASIL,23434,BOM JARDIM,33,1,Presidente,280000607640,30,JOÃO DIONISIO FILGUEIRA BARRETO AMOEDO,JOÃO AMOÊDO,#NULO#,12,APTO,2,DEFERIDO,Partido isolado,30,NOVO,Partido Novo,280000050199,PARTIDO ISOLADO,NOVO,4,NÃO ELEITO,N,34
2351171,11/09/2022,04:50:46,2018,2,Eleição Ordinária,1,295,ELEIÇÃO GERAL FEDERAL 2018,07/10/2018,F,PE,BR,BRASIL,24473,ITACURUBA,73,1,Presidente,280000607640,30,JOÃO DIONISIO FILGUEIRA BARRETO AMOEDO,JOÃO AMOÊDO,#NULO#,12,APTO,2,DEFERIDO,Partido isolado,30,NOVO,Partido Novo,280000050199,PARTIDO ISOLADO,NOVO,4,NÃO ELEITO,N,9
2351175,11/09/2022,04:50:46,2018,2,Eleição Ordinária,1,295,ELEIÇÃO GERAL FEDERAL 2018,07/10/2018,F,PE,BR,BRASIL,25895,SURUBIM,34,1,Presidente,280000607640,30,JOÃO DIONISIO FILGUEIRA BARRETO AMOEDO,JOÃO AMOÊDO,#NULO#,12,APTO,2,DEFERIDO,Partido isolado,30,NOVO,Partido Novo,280000050199,PARTIDO ISOLADO,NOVO,4,NÃO ELEITO,N,186
2351892,11/09/2022,04:50:46,2018,2,Eleição Ordinária,1,295,ELEIÇÃO GERAL FEDERAL 2018,07/10/2018,F,PE,BR,BRASIL,23639,CAETÉS,130,1,Presidente,280000607640,30,JOÃO DIONISIO FILGUEIRA BARRETO AMOEDO,JOÃO AMOÊDO,#NULO#,12,APTO,2,DEFERIDO,Partido isolado,30,NOVO,Partido Novo,280000050199,PARTIDO ISOLADO,NOVO,4,NÃO ELEITO,N,27
2381408,11/09/2022,04:50:46,2018,2,Eleição Ordinária,1,295,ELEIÇÃO GERAL FEDERAL 2018,07/10/2018,F,PE,BR,BRASIL,25810,SERTÂNIA,62,1,Presidente,280000602477,45,GERALDO JOSÉ RODRIGUES ALCKMIN FILHO,GERALDO ALCKMIN,#NULO#,12,APTO,2,DEFERIDO,Coligação,45,PSDB,Partido da Social Democracia Brasileira,280000050070,PARA UNIR O BRASIL,PSDB / PTB / PP / PR / DEM / SOLIDARIEDADE / PPS / PRB / PSD,4,NÃO ELEITO,N,218
2382143,11/09/2022,04:50:46,2018,2,Eleição Ordinária,1,295,ELEIÇÃO GERAL FEDERAL 2018,07/10/2018,F,PE,BR,BRASIL,25372,RIO FORMOSO,26,1,Presidente,280000602477,45,GERALDO JOSÉ RODRIGUES ALCKMIN FILHO,GERALDO ALCKMIN,#NULO#,12,APTO,2,DEFERIDO,Coligação,45,PSDB,Partido da Social Democracia Brasileira,280000050070,PARA UNIR O BRASIL,PSDB / PTB / PP / PR / DEM / SOLIDARIEDADE / PPS / PRB / PSD,4,NÃO ELEITO,N,169
2382869,11/09/2022,04:50:46,2018,2,Eleição Ordinária,1,295,ELEIÇÃO GERAL FEDERAL 2018,07/10/2018,F,PE,BR,BRASIL,24457,IPUBI,133,1,Presidente,280000602477,45,GERALDO JOSÉ RODRIGUES ALCKMIN FILHO,GERALDO ALCKMIN,#NULO#,12,APTO,2,DEFERIDO,Coligação,45,PSDB,Partido da Social Democracia Brasileira,280000050070,PARA UNIR O BRASIL,PSDB / PTB / PP / PR / DEM / SOLIDARIEDADE / PPS / PRB / PSD,4,NÃO ELEITO,N,106
2384333,11/09/2022,04:50:46,2018,2,Eleição Ordinária,1,295,ELEIÇÃO GERAL FEDERAL 2018,07/10/2018,F,PE,BR,BRASIL,23574,CABO DE SANTO AGOSTINHO,121,1,Presidente,280000602477,45,GERALDO JOSÉ RODRIGUES ALCKMIN FILHO,GERALDO ALCKMIN,#NULO#,12,APTO,2,DEFERIDO,Coligação,45,PSDB,Partido da Social Democracia Brasileira,280000050070,PARA UNIR O BRASIL,PSDB / PTB / PP / PR / DEM / SOLIDARIEDADE / PPS / PRB / PSD,4,NÃO ELEITO,N,1034
2384337,11/09/2022,04:50:46,2018,2,Eleição Ordinária,1,295,ELEIÇÃO GERAL FEDERAL 2018,07/10/2018,F,PE,BR,BRASIL,26336,ITAPISSUMA,131,1,Presidente,280000602477,45,GERALDO JOSÉ RODRIGUES ALCKMIN FILHO,GERALDO ALCKMIN,#NULO#,12,APTO,2,DEFERIDO,Coligação,45,PSDB,Partido da Social Democracia Brasileira,280000050070,PARA UNIR O BRASIL,PSDB / PTB / PP / PR / DEM / SOLIDARIEDADE / PPS / PRB / PSD,4,NÃO ELEITO,N,135
2385045,11/09/2022,04:50:46,2018,2,Eleição Ordinária,1,295,ELEIÇÃO GERAL FEDERAL 2018,07/10/2018,F,PE,BR,BRASIL,24775,LIMOEIRO,24,1,Presidente,280000602477,45,GERALDO JOSÉ RODRIGUES ALCKMIN FILHO,GERALDO ALCKMIN,#NULO#,12,APTO,2,DEFERIDO,Coligação,45,PSDB,Partido da Social Democracia Brasileira,280000050070,PARA UNIR O BRASIL,PSDB / PTB / PP / PR / DEM / SOLIDARIEDADE / PPS / PRB / PSD,4,NÃO ELEITO,N,506
2385777,11/09/2022,04:50:46,2018,2,Eleição Ordinária,1,295,ELEIÇÃO GERAL FEDERAL 2018,07/10/2018,F,PE,BR,BRASIL,25313,RECIFE,9,1,Presidente,280000602477,45,GERALDO JOSÉ RODRIGUES ALCKMIN FILHO,GERALDO ALCKMIN,#NULO#,12,APTO,2,DEFERIDO,Coligação,45,PSDB,Partido da Social Democracia Brasileira,280000050070,PARA UNIR O BRASIL,PSDB / PTB / PP / PR / DEM / SOLIDARIEDADE / PPS / PRB / PSD,4,NÃO ELEITO,N,1519
2386526,11/09/2022,04:50:46,2018,2,Eleição Ordinária,1,295,ELEIÇÃO GERAL FEDERAL 2018,07/10/2018,F,PE,BR,BRASIL,23914,CONDADO,125,1,Presidente,280000602477,45,GERALDO JOSÉ RODRIGUES ALCKMIN FILHO,GERALDO ALCKMIN,#NULO#,12,APTO,2,DEFERIDO,Coligação,45,PSDB,Partido da Social Democracia Brasileira,280000050070,PARA UNIR O BRASIL,PSDB / PTB / PP / PR / DEM / SOLIDARIEDADE / PPS / PRB / PSD,4,NÃO ELEITO,N,166
2387235,11/09/2022,04:50:46,2018,2,Eleição Ordinária,1,295,ELEIÇÃO GERAL FEDERAL 2018,07/10/2018,F,PE,BR,BRASIL,26050,TIMBAÚBA,36,1,Presidente,280000602477,45,GERALDO JOSÉ RODRIGUES ALCKMIN FILHO,GERALDO ALCKMIN,#NULO#,12,APTO,2,DEFERIDO,Coligação,45,PSDB,Partido da Social Democracia Brasileira,280000050070,PARA UNIR O BRASIL,PSDB / PTB / PP / PR / DEM / SOLIDARIEDADE / PPS / PRB / PSD,4,NÃO ELEITO,N,626
